name,type,location,address,open_time
交东小区C区,住宅区,"116.409929,39.940062",交道口东大街10号,
似海怡家,住宅区,"116.362812,39.888615",广安门内大街202号-2(牛街地铁站D2口步行250米),
世贸国际公寓,住宅区,"116.452499,39.915178",光华路甲9号,
中海紫御公馆西区,住宅区,"116.390507,39.870085",永定门西滨河路8号院中海紫御,
聚龙花园,住宅区,"116.441996,39.929681",新中街68号,
南锣鼓巷15号院,住宅区,"116.402700,39.940287",南锣鼓巷15号,
和平村F区,住宅区,"116.449232,39.886870",广和里西路58号,
永铁苑小区,住宅区,"116.392953,39.868882",松林街21号(中海紫御公馆南侧),
GOGO新世代,住宅区,"116.423041,39.866545",方庄街道蒲方路9号院(蒲黄榆地铁站B东北口旁),
双槐里小区,住宅区,"116.369488,39.881547",牛街南口,
怡馨园,住宅区,"116.457008,39.894244",广渠门外大街9号(双井地铁站A西北口步行240米),
华普花园,住宅区,"116.432597,39.936160",东直门南大街9号(东四十条桥西北角),
芳城园一区,住宅区,"116.435672,39.869428",芳城路与方庄路路口以西约100米路北,
东大桥东里小区,住宅区,"116.452491,39.919826",东大桥地铁站D1西南口步行260米,
富力城C区,住宅区,"116.457101,39.896087",东三环中路59号,
垂杨柳北里,住宅区,"116.458420,39.890808",垂杨柳中街(双井地铁站D西南口步行440米),
芳古园二区,住宅区,"116.428569,39.869756",左安门西滨河路1号,
景泰东里,住宅区,"116.414911,39.864521",蒲黄榆安乐林路27号(景泰地铁站B东北口步行300米),
左安漪园小区,住宅区,"116.440609,39.873954",左安门内大街110号,
牛街西里二区,住宅区,"116.361911,39.884611",牛街信恒大厦南侧,
清芷园,住宅区,"116.372081,39.873324",育新街47号,
富力城A区,住宅区,"116.459232,39.895364",广渠门外大街1号院(双井地铁站A西北口步行70米),
百荣嘉园,住宅区,"116.391810,39.867269",西革新里116号,
天天家园,住宅区,"116.405231,39.864214",永定门外安乐林路22号,
里仁街3号院,住宅区,"116.371233,39.876758",里仁街3号(陶然亭地铁站D西南口步行340米),
白广路6号院,住宅区,"116.360062,39.886275",白广路6号院钢铁设计研究院小区,
劲松小区五区,住宅区,"116.452186,39.882954",劲松南路,
新中西里社区,住宅区,"116.438601,39.934956",东二环东四十条保利剧院东,
合生国际家园,住宅区,"116.458059,39.899703",[],
